sample,control_sessions,treatment_sessions,control_purchases,treatment_purchases,control_conversion_rate,treatment_conversion_rate,absolute_lift,relative_lift,z_statistic,p_value,ci_lower,ci_upper
A_all_sessions,657,654,300,410,0.45662100456621,0.6269113149847095,0.1702903104184995,0.37293577981651393,6.187232437302946,6.122964982969846e-10,0.1171425434436097,0.22343807739338933
B_exclude_cross_group_users,651,648,296,406,0.45468509984639016,0.6265432098765432,0.17185811003015306,0.3779717217217218,6.2143667836622765,5.153203085969104e-10,0.1184697442858032,0.2252464757745029
C_first_experiment_session_per_user,650,651,296,408,0.4553846153846154,0.6267281105990783,0.1713434952144629,0.3762610536804084,6.2012601020509805,5.601285204267835e-10,0.11799303529476812,0.22469395513415769
